index,English Word,Valence,Arousal,Dominance,Turkish Word,Joy,Anger,Sadness,Fear,Disgust
4230,cult,0.448,0.535,0.648,kült,1.72,1.65,1.55,1.72,1.6
4231,cultivate,0.708,0.41,0.598,yetiştirmek,2.65,1.28,1.26,1.32,1.25
4232,cultivated,0.837,0.343,0.564,ekili,2.57,1.29,1.28,1.34,1.27
4233,cultivation,0.625,0.324,0.462,yetiştirme,2.09,1.36,1.32,1.38,1.35
4234,cultural,0.802,0.39,0.623,kültürel,3.08,1.28,1.28,1.37,1.22
4235,culture,0.753,0.304,0.675,kültür,2.76,1.31,1.3,1.38,1.27
4236,cultured,0.635,0.429,0.625,kültürlü,2.32,1.32,1.29,1.35,1.3
4237,culvert,0.337,0.324,0.343,menfez,1.66,1.48,1.44,1.47,1.52
4238,cumbersome,0.259,0.623,0.292,hantal,1.41,1.95,1.95,1.93,1.97
4239,cumulus,0.57,0.433,0.432,kümülüs,1.8,1.42,1.37,1.44,1.42
4240,cunning,0.604,0.685,0.683,marifetli,1.91,1.7,1.56,1.78,1.6
4241,cunt,0.135,0.673,0.377,am,1.48,2.18,2.04,2.47,1.86
4242,cup,0.615,0.167,0.231,Fincan,2.09,1.27,1.22,1.29,1.27
4243,cupboard,0.553,0.2,0.304,büfe,1.81,1.38,1.32,1.38,1.39
4244,cupcake,0.656,0.333,0.344,kek,3.53,1.22,1.26,1.3,1.15
4245,cupping,0.49,0.61,0.402,çukurluğu,2.05,1.39,1.34,1.41,1.39
4246,cur,0.44,0.519,0.46,kür,1.15,2.18,2.25,2.13,2.27
4247,curable,0.823,0.292,0.574,tedavi edilebilir,1.68,1.63,1.66,1.67,1.64
4248,curate,0.726,0.418,0.526,papaz,2.02,1.33,1.29,1.35,1.33
4249,curative,0.667,0.318,0.613,iyileştirici,1.78,1.46,1.41,1.48,1.48
4250,curator,0.688,0.389,0.688,küratör,2.69,1.26,1.25,1.31,1.22
4251,curb,0.472,0.371,0.402,zapt etmek,1.67,1.51,1.41,1.46,1.61
4252,curd,0.542,0.442,0.278,Lor,1.79,1.39,1.35,1.4,1.42
4253,cure,0.719,0.377,0.623,tedavi,1.66,1.64,1.7,1.69,1.64
4254,curfew,0.219,0.618,0.623,sokağa çıkma yasağı,1.61,1.65,1.53,1.59,1.75
4255,curiosity,0.75,0.755,0.463,merak,2.97,1.32,1.3,1.42,1.24
4256,curious,0.635,0.6,0.483,Meraklı,2.86,1.33,1.32,1.41,1.26
4257,curl,0.385,0.452,0.351,kıvrılmak,2.26,1.31,1.29,1.35,1.29
4258,curling,0.583,0.592,0.4,kıvrılma,1.98,1.38,1.34,1.4,1.38
4259,currency,0.583,0.418,0.592,para birimi,2.86,1.28,1.28,1.33,1.24
4260,current,0.625,0.312,0.612,akım,1.86,1.39,1.34,1.4,1.39
4261,curriculum,0.708,0.306,0.62,Müfredat,2.07,1.36,1.32,1.39,1.35
4262,curry,0.633,0.345,0.302,köri,1.97,1.37,1.32,1.38,1.38
4263,curse,0.033,0.72,0.375,küfür,1.29,2.35,2.02,2.13,2.6
4264,cursed,0.083,0.783,0.393,lanetli,1.25,2.43,2.23,2.33,2.52
4265,cursing,0.112,0.86,0.446,lanet okuma,1.33,2.25,2.01,2.15,2.36
4266,cursory,0.423,0.451,0.431,Gösterişli,1.69,1.48,1.43,1.47,1.51
4267,curt,0.245,0.61,0.452,kısa,1.59,1.55,1.53,1.54,1.6
4268,curtail,0.306,0.439,0.497,kısıtlama,1.47,1.92,1.76,1.86,1.97
4269,curtailment,0.23,0.578,0.431,kısıtlama,1.42,2.08,2.04,2.09,2.05
4270,curtain,0.698,0.278,0.304,perde,2.08,1.36,1.33,1.39,1.37
4271,curtains,0.615,0.123,0.342,perdeler,2.12,1.35,1.32,1.38,1.34
4272,curtsy,0.635,0.412,0.598,reverans,2.6,1.3,1.29,1.34,1.27
4273,curvature,0.417,0.367,0.447,eğrilik,1.89,1.38,1.33,1.39,1.39
4274,curve,0.48,0.375,0.307,eğri,1.83,1.39,1.34,1.4,1.39
4275,curved,0.542,0.407,0.337,kavisli,1.9,1.36,1.31,1.38,1.36
4276,curvilinear,0.48,0.575,0.411,eğrisel,1.95,1.36,1.32,1.38,1.36
4277,cushion,0.653,0.221,0.292,Yastık,2.21,1.32,1.29,1.35,1.32
4278,cushy,0.823,0.283,0.395,rahat,2.29,1.34,1.32,1.39,1.32
4279,cusp,0.667,0.71,0.7,uç,1.87,1.39,1.34,1.41,1.38
4280,cuss,0.354,0.538,0.443,küfür,1.21,2.58,2.38,2.68,2.37
4281,cussed,0.156,0.625,0.454,küfürlü,1.37,2.23,2.11,2.3,2.1
4282,custard,0.618,0.26,0.293,muhallebi,2.03,1.36,1.32,1.38,1.36
4283,custodial,0.418,0.462,0.718,gözaltı,1.76,1.43,1.39,1.44,1.45
4284,custodian,0.594,0.625,0.528,gardiyan,1.86,1.37,1.32,1.38,1.38
4285,custody,0.494,0.472,0.675,velayet,1.74,1.53,1.48,1.56,1.52
4286,custom,0.552,0.382,0.688,gelenek,2.91,1.26,1.27,1.31,1.23
4287,customary,0.7,0.253,0.561,alışılmış,1.81,1.38,1.32,1.39,1.39
4288,customer,0.562,0.43,0.673,müşteri,2.4,1.31,1.28,1.35,1.29
4289,customized,0.625,0.504,0.59,özelleştirilmiş,3.06,1.25,1.26,1.31,1.2
4290,cut,0.49,0.49,0.393,kesmek,1.67,1.5,1.42,1.47,1.56
4291,cutaneous,0.365,0.37,0.328,deri,1.63,1.63,1.58,1.65,1.62
4292,cute,0.92,0.528,0.579,Sevimli,3.6,1.2,1.25,1.3,1.11
4293,cuticle,0.34,0.32,0.377,kütikül,1.85,1.38,1.32,1.39,1.38
4294,cutie,0.638,0.528,0.464,tatlı,3.56,1.22,1.26,1.33,1.13
4295,cutlass,0.173,0.648,0.528,pala,1.56,1.8,1.6,1.78,1.79
4296,cutlery,0.552,0.3,0.345,çatal bıçak takımı,2.16,1.31,1.28,1.33,1.32
4297,cutoff,0.432,0.51,0.518,ayırmak,1.51,1.85,1.82,1.87,1.82
4298,cutter,0.427,0.731,0.583,kesici,1.65,1.57,1.39,1.47,1.7
4299,cutters,0.197,0.653,0.491,kesiciler,1.72,1.46,1.37,1.44,1.5
4300,cutthroat,0.11,0.823,0.663,kıyasıya,1.3,2.49,2.28,2.59,2.3
4301,cutting,0.448,0.375,0.536,kesme,1.7,1.5,1.42,1.48,1.54
4302,cutting board,0.337,0.54,0.342,kesme tahtası,,,,,
4303,cuttings,0.479,0.392,0.433,kırıntı,2.11,1.34,1.3,1.36,1.34
4304,cwt,0.5,0.41,0.384,cwt,1.63,1.28,1.24,1.26,1.37
4305,cyanide,0.229,0.667,0.545,siyanür,1.14,2.67,2.55,2.71,2.56
4306,cyberspace,0.677,0.594,0.611,siber uzay,2.56,1.36,1.33,1.43,1.31
4307,cycle,0.635,0.4,0.533,Çevrim,2.25,1.35,1.33,1.38,1.33
4308,cyclical,0.38,0.45,0.554,döngüsel,1.72,1.49,1.46,1.51,1.49
4309,cyclist,0.684,0.582,0.576,bisikletçi,1.98,1.42,1.36,1.46,1.4
4310,cyclone,0.416,0.796,0.673,siklon,1.45,2.11,2.03,2.32,1.86
4311,cylinder,0.459,0.324,0.447,silindir,1.75,1.39,1.33,1.39,1.41
4312,cylindrical,0.458,0.294,0.414,silindirik,1.8,1.38,1.33,1.39,1.4
4313,cymbal,0.542,0.363,0.362,zil,2.11,1.37,1.33,1.4,1.35
4314,cynic,0.135,0.632,0.473,alaycı,1.27,2.2,1.88,1.83,2.69
4315,cynical,0.156,0.76,0.474,alaycı,1.34,2.13,1.9,1.89,2.41
4316,cynicism,0.104,0.78,0.454,alaycılık,1.28,2.3,2.1,2.09,2.53
4317,cyst,0.173,0.578,0.312,kist,1.1,2.41,2.58,2.45,2.41
4318,cystic,0.314,0.481,0.4,kistik,1.32,2.07,1.95,1.89,2.33
4319,cytomegalovirus,0.186,0.657,0.443,sitomegalovirüs,1.57,1.87,1.86,1.96,1.76
4320,cytoplasm,0.378,0.442,0.474,sitoplazma,1.73,1.44,1.4,1.45,1.46
4321,czar,0.48,0.348,0.643,çar,1.71,1.58,1.57,1.62,1.59
4322,dab,0.51,0.337,0.34,kuru,1.79,1.34,1.29,1.34,1.37
4323,dabble,0.55,0.53,0.491,serpmek,2.06,1.37,1.33,1.41,1.36
4324,dabbling,0.562,0.726,0.676,cüretkar,1.97,1.41,1.36,1.46,1.4
4325,dad,0.857,0.412,0.786,baba,3.59,1.15,1.2,1.23,1.08
4326,daddy,0.795,0.4,0.736,baba,3.35,1.22,1.24,1.28,1.16
4327,dado,0.51,0.24,0.364,taban taşı,1.73,1.46,1.41,1.46,1.5
4328,daemon,0.333,0.49,0.5,arka plan programı,1.68,1.6,1.53,1.64,1.57
4329,daft,0.255,0.436,0.157,aptal,1.65,1.51,1.5,1.52,1.54
4330,dagger,0.224,0.797,0.613,hançer,1.44,2.07,1.85,2.13,1.99
4331,daily,0.653,0.347,0.473,günlük,1.95,1.32,1.28,1.34,1.32
4332,dainty,0.604,0.284,0.424,zarif,3.18,1.22,1.24,1.27,1.18
4333,daiquiri,0.67,0.519,0.4,kokteyl,2.45,1.35,1.32,1.41,1.31
4334,dairy,0.633,0.255,0.462,günlük,2.37,1.33,1.31,1.36,1.32
4335,daisy,0.562,0.367,0.333,papatya,2.35,1.32,1.3,1.36,1.3
4336,dak,0.51,0.417,0.424,dak,1.76,1.4,1.37,1.42,1.42
4337,dale,0.622,0.27,0.365,vadi,2.63,1.27,1.27,1.32,1.23
4338,dam,0.25,0.553,0.394,baraj,1.69,1.48,1.42,1.49,1.51
4339,damage,0.059,0.726,0.403,zarar,1.29,2.42,2.35,2.51,2.27
4340,damaged,0.104,0.635,0.182,hasarlı,1.22,2.45,2.44,2.5,2.36
4341,damages,0.082,0.76,0.31,zararlar,1.22,2.44,2.39,2.37,2.49
4342,dame,0.694,0.48,0.5,bayan,2.57,1.31,1.3,1.36,1.28
4343,damn,0.073,0.784,0.431,lanet etmek,1.42,2.25,2.0,2.29,2.18
4344,damnation,0.135,0.75,0.416,lanet,1.19,2.6,2.54,2.69,2.42
4345,damned,0.1,0.76,0.465,lanetli,1.28,2.39,2.19,2.4,2.35
4346,damp,0.36,0.279,0.21,nemli,1.55,1.64,1.64,1.63,1.71
4347,dampened,0.271,0.422,0.336,nemlendirilmiş,1.75,1.47,1.4,1.47,1.48
4348,damper,0.459,0.378,0.473,damper,1.72,1.54,1.45,1.49,1.62
4349,damsel,0.719,0.475,0.4,küçük hanım,2.47,1.53,1.49,1.66,1.41
4350,dance,0.894,0.84,0.551,dans,2.76,1.36,1.33,1.46,1.28
4351,dancer,0.74,0.768,0.545,dansçı,2.75,1.36,1.33,1.44,1.28
4352,dancing,0.885,0.868,0.444,dans,2.88,1.37,1.34,1.48,1.27
4353,dandruff,0.398,0.298,0.293,kepek,1.28,2.28,2.38,2.32,2.2
4354,dandy,0.673,0.52,0.63,züppe,2.93,1.27,1.28,1.32,1.24
4355,danger,0.115,0.923,0.673,tehlike,1.28,2.54,2.5,2.87,2.14
4356,dangerous,0.02,0.941,0.658,tehlikeli,1.21,2.66,2.63,2.86,2.34
4357,dangerously,0.082,0.93,0.564,tehlikeli,1.33,2.32,2.2,2.41,2.17
4358,dangit,0.396,0.606,0.358,dangit,1.42,2.07,1.93,2.05,2.06
4359,dangle,0.362,0.469,0.375,sarkmak,1.72,1.63,1.51,1.7,1.55
4360,dank,0.39,0.381,0.383,nemli,1.48,1.7,1.74,1.69,1.79
4361,dapper,0.77,0.56,0.698,zarif,2.54,1.31,1.29,1.36,1.29
4362,dare,0.677,0.788,0.684,cesaret etmek,1.56,1.91,1.69,1.85,1.97
4363,daredevil,0.429,0.714,0.653,gözüpek,2.14,1.82,1.64,2.11,1.53
4364,daresay,0.54,0.451,0.49,cesaret,1.94,1.37,1.33,1.39,1.37
4365,daring,0.583,0.84,0.711,cesur,2.34,1.63,1.5,1.84,1.43
4366,dark,0.198,0.398,0.426,karanlık,1.75,1.6,1.51,1.67,1.55
4367,darken,0.25,0.471,0.382,karartmak,1.74,1.48,1.35,1.39,1.62
4368,darkened,0.135,0.44,0.452,karartılmış,1.28,2.3,2.22,2.26,2.32
4369,darkly,0.219,0.548,0.443,karanlık,1.73,1.7,1.57,1.78,1.62
4370,darkness,0.102,0.602,0.418,karanlık,1.74,1.72,1.66,1.8,1.62
4371,darkroom,0.188,0.627,0.423,karanlık oda,1.82,1.39,1.35,1.41,1.4
4372,darkside,0.102,0.69,0.365,karanlık taraf,1.6,1.9,1.72,2.0,1.78
4373,darling,0.885,0.37,0.608,sevgilim,3.48,1.22,1.25,1.29,1.16
4374,darn,0.115,0.765,0.418,kahretsin,1.72,1.53,1.45,1.52,1.55
4375,dart,0.417,0.608,0.5,Dart oyunu,1.75,1.48,1.44,1.52,1.48
4376,dash,0.574,0.312,0.324,kısa çizgi,1.79,1.41,1.36,1.43,1.43
4377,dashboard,0.51,0.371,0.595,Gösterge Paneli,1.9,1.36,1.31,1.37,1.36
4378,dashed,0.276,0.393,0.338,kesikli,1.72,1.49,1.43,1.5,1.5
4379,dashing,0.612,0.627,0.799,atılgan,2.83,1.38,1.34,1.47,1.29
4380,dastardly,0.208,0.688,0.27,alçakça,1.31,2.43,2.35,2.53,2.24
4381,data,0.5,0.25,0.426,veri,1.79,1.37,1.31,1.37,1.39
4382,database,0.604,0.286,0.644,veri tabanı,1.81,1.37,1.32,1.38,1.39
4383,date,0.604,0.231,0.4,tarih,3.91,1.18,1.23,1.28,1.09
4384,datenight,0.708,0.637,0.518,randevu gecesi,3.29,1.28,1.29,1.36,1.21
4385,daughter,0.908,0.415,0.455,kız evlat,3.15,1.24,1.26,1.3,1.2
4386,dawdle,0.479,0.464,0.357,oyalanmak,1.66,1.53,1.53,1.54,1.56
4387,dawn,0.827,0.235,0.519,şafak,2.81,1.34,1.33,1.43,1.27
4388,dawned,0.694,0.471,0.473,şafak vakti,2.24,1.34,1.32,1.38,1.32
4389,day,0.719,0.269,0.389,gün,3.23,1.21,1.24,1.29,1.15
4390,daybreak,0.802,0.358,0.474,gün doğumu,3.32,1.23,1.26,1.3,1.18
4391,daycare,0.776,0.481,0.36,kreş,2.21,1.36,1.33,1.39,1.35
4392,daydream,0.75,0.337,0.456,hayal kurmak,3.34,1.27,1.28,1.36,1.19
4393,daydreaming,0.776,0.36,0.479,hayal kurmak,3.49,1.26,1.28,1.35,1.18
4394,daylight,0.865,0.42,0.545,gün ışığı,2.71,1.31,1.3,1.37,1.26
4395,daymade,0.646,0.45,0.417,gündüz yapımı,,,,,
4396,dayoff,0.76,0.368,0.377,izin günü,2.64,1.31,1.31,1.36,1.29
4397,daytime,0.75,0.324,0.454,gündüz,3.53,1.2,1.25,1.28,1.14
4398,daze,0.245,0.735,0.329,şaşkınlık,1.74,1.48,1.47,1.51,1.49
4399,dazed,0.3,0.697,0.277,sersemlemiş,1.61,1.66,1.66,1.68,1.68
4400,dazzle,0.73,0.782,0.683,göz kamaştırıcı,3.02,1.33,1.32,1.44,1.24
4401,dazzling,0.854,0.88,0.767,göz kamaştırıcı,3.37,1.34,1.33,1.47,1.22
4402,deacon,0.531,0.43,0.736,diyakoz,1.8,1.38,1.33,1.39,1.4
4403,deactivate,0.235,0.447,0.392,devre dışı bırakmak,1.61,1.83,1.64,1.74,1.94
4404,dead,0.052,0.454,0.194,ölü,1.18,2.53,2.62,2.69,2.31
4405,deadbeat,0.229,0.453,0.368,ölü vuruş,1.17,2.46,2.39,2.38,2.54
4406,deadline,0.214,0.615,0.46,son tarih,1.13,2.66,2.71,2.83,2.39
4407,deadlines,0.406,0.769,0.411,son tarihler,1.23,2.43,2.46,2.51,2.27
4408,deadlock,0.17,0.418,0.323,kilitlenme,1.48,1.86,1.78,1.82,1.91
4409,deadly,0.143,0.849,0.554,ölümcül,1.18,2.89,2.76,3.21,2.43
4410,deafening,0.281,0.835,0.482,sağır edici,1.52,2.07,1.96,2.31,1.82
4411,deafness,0.125,0.413,0.219,sağırlık,1.38,2.11,2.34,2.2,2.04
4412,deal,0.719,0.599,0.543,anlaştık mı,2.79,1.26,1.27,1.31,1.23
4413,dealer,0.799,0.615,0.683,satıcı,1.42,2.05,1.91,2.08,1.97
4414,dealership,0.541,0.43,0.629,bayilik,1.75,1.45,1.4,1.47,1.46
4415,dealing,0.724,0.415,0.598,uğraşmak,1.66,1.62,1.54,1.57,1.71
4416,dealings,0.6,0.491,0.48,ilişkiler,1.44,1.98,1.87,1.95,1.99
4417,dean,0.612,0.469,0.723,dekan,1.75,1.39,1.33,1.39,1.41
4418,dear,0.88,0.434,0.629,sevgili,3.46,1.19,1.25,1.27,1.13
4419,dearest,0.902,0.427,0.508,sevgili,4.12,1.15,1.23,1.25,1.06
4420,dearth,0.156,0.539,0.255,kıtlık,1.7,1.52,1.52,1.56,1.52
4421,death,0.031,0.72,0.472,ölüm,0.99,2.96,3.26,3.21,2.61
4422,deathbed,0.051,0.652,0.311,ölüm yatağı,1.07,2.72,3.03,2.89,2.44
4423,deathly,0.073,0.771,0.682,ölümcül,1.06,2.82,2.9,3.01,2.55
4424,debacle,0.156,0.606,0.266,fiyasko,1.45,2.01,2.02,2.11,1.89
4425,debased,0.219,0.529,0.17,alçaltılmış,1.28,2.23,2.18,2.14,2.33
4426,debatable,0.181,0.61,0.474,tartışmalı,1.99,1.42,1.36,1.45,1.4
4427,debate,0.408,0.691,0.683,çekişme,1.64,1.7,1.55,1.66,1.74
4428,debauchery,0.354,0.901,0.5,sefahat,1.54,2.07,1.88,2.19,1.9
4429,debenture,0.417,0.5,0.466,tahvil,1.77,1.41,1.36,1.42,1.42
4430,debilitating,0.125,0.49,0.308,zayıflatıcı,1.21,2.5,2.67,2.61,2.33
4431,debit,0.333,0.4,0.474,borç,1.91,1.38,1.33,1.38,1.4
4432,debrief,0.247,0.343,0.549,bilgi almak,1.8,1.42,1.36,1.44,1.42
4433,debriefing,0.427,0.58,0.456,bilgi alma,1.86,1.42,1.36,1.45,1.41
4434,debris,0.135,0.396,0.327,enkaz,1.57,1.7,1.69,1.72,1.72
4435,debt,0.204,0.598,0.336,borç,1.26,2.22,2.29,2.19,2.25
4436,debtor,0.219,0.546,0.16,borçlu,1.16,2.49,2.58,2.56,2.34
4437,debut,0.806,0.606,0.629,ilk,2.56,1.3,1.29,1.36,1.25
4438,debutante,0.771,0.627,0.454,sosyete kızı,2.13,1.38,1.34,1.43,1.36
4439,decade,0.531,0.402,0.665,on yıl,1.81,1.4,1.36,1.42,1.41
4440,decadence,0.237,0.455,0.291,çöküş,1.74,1.61,1.51,1.65,1.59
4441,decadent,0.29,0.559,0.324,çökmekte olan,2.54,1.44,1.41,1.54,1.35
4442,decaf,0.48,0.324,0.353,kafeinsiz,1.77,1.41,1.35,1.42,1.43
4443,decanter,0.438,0.567,0.51,sürahi,2.14,1.33,1.3,1.36,1.33
4444,decathlon,0.573,0.753,0.62,dekatlon,1.9,1.44,1.39,1.47,1.42
4445,decay,0.143,0.312,0.17,çürümek,1.35,2.09,2.27,2.16,2.05
4446,decayed,0.017,0.375,0.169,çürümüş,1.28,2.15,2.22,2.09,2.25
4447,decaying,0.073,0.51,0.214,çürüyen,1.18,2.43,2.54,2.47,2.34
4448,deceased,0.021,0.538,0.188,merhum,1.22,2.4,2.55,2.49,2.24
4449,decedent,0.423,0.481,0.415,merhum,1.77,1.47,1.43,1.5,1.46
4450,deceit,0.02,0.696,0.343,aldatma,1.12,2.81,2.67,2.83,2.71
4451,deceitful,0.071,0.788,0.371,aldatıcı,1.16,2.62,2.46,2.49,2.76
4452,deceive,0.094,0.775,0.414,aldatmak,1.13,2.65,2.52,2.62,2.63
4453,deceived,0.059,0.673,0.302,aldatılmış,1.28,2.4,2.36,2.41,2.36
4454,deceiving,0.099,0.636,0.426,aldatıcı,1.17,2.63,2.49,2.54,2.69
4455,december,0.74,0.54,0.464,ARALIK AYI,2.16,1.4,1.37,1.44,1.38
4456,decency,0.75,0.235,0.634,terbiye,2.21,1.33,1.3,1.36,1.32
4457,decent,0.823,0.296,0.653,terbiyeli,3.05,1.23,1.24,1.29,1.19
4458,deception,0.09,0.745,0.37,aldatma,1.21,2.62,2.51,2.71,2.46
4459,deceptive,0.027,0.605,0.294,aldatıcı,1.23,2.43,2.22,2.33,2.54
4460,decide,0.656,0.54,0.855,karar ver,2.34,1.31,1.28,1.34,1.29
4461,decidedly,0.75,0.48,0.843,kesinlikle,1.79,1.44,1.38,1.45,1.45
4462,deciduous,0.385,0.353,0.282,yaprak döken,1.98,1.38,1.35,1.41,1.39
4463,decimal,0.507,0.259,0.305,ondalık,1.75,1.44,1.39,1.45,1.46
4464,decimeter,0.52,0.292,0.377,desimetre,1.75,1.39,1.33,1.39,1.41
4465,decipher,0.417,0.63,0.652,deşifre etmek,1.83,1.38,1.33,1.4,1.39
4466,decision,0.646,0.51,0.839,karar,1.98,1.37,1.33,1.39,1.38
4467,decisive,0.74,0.509,0.935,belirleyici,3.0,1.33,1.32,1.42,1.26
4468,deck,0.42,0.333,0.394,güverte,1.93,1.32,1.28,1.34,1.33
4469,declaration,0.551,0.59,0.714,beyanname,2.11,1.39,1.34,1.43,1.36
4470,declaratory,0.635,0.582,0.673,beyan edici,1.81,1.42,1.36,1.43,1.42
4471,declare,0.677,0.623,0.668,bildirmek,1.86,1.43,1.37,1.45,1.42
4472,declination,0.25,0.549,0.311,sapma,1.75,1.43,1.37,1.43,1.46
4473,decline,0.173,0.491,0.24,reddetmek,1.33,2.14,2.19,2.13,2.13
4474,declining,0.328,0.4,0.264,azalan,1.36,2.12,2.02,2.06,2.2
4475,deco,0.625,0.274,0.356,dekor,2.06,1.34,1.29,1.36,1.33
4476,decode,0.551,0.51,0.64,kodu çözmek,1.88,1.39,1.34,1.41,1.39
4477,decoder,0.562,0.34,0.686,kod çözücü,2.25,1.34,1.32,1.37,1.33
4478,decompose,0.194,0.596,0.241,çürümek,1.5,1.91,1.8,1.92,1.88
4479,decomposed,0.073,0.442,0.231,çürümüş,1.33,2.18,2.12,2.17,2.15
4480,decomposition,0.133,0.6,0.263,ayrışma,1.31,2.26,2.18,2.26,2.22
4481,decompress,0.438,0.43,0.509,açmak,1.87,1.4,1.34,1.41,1.4
4482,decompression,0.208,0.52,0.311,baskıyı azaltma,1.52,1.84,1.75,1.82,1.87
4483,decontamination,0.611,0.538,0.573,dekontaminasyon,1.52,1.93,1.84,1.99,1.84
4484,decor,0.734,0.311,0.573,dekor,2.07,1.31,1.27,1.34,1.3
4485,decorate,0.954,0.37,0.404,süslemek,2.66,1.26,1.26,1.3,1.24
4486,decorating,0.863,0.548,0.462,dekorasyon,2.93,1.25,1.26,1.3,1.22
4487,decoration,0.878,0.553,0.526,dekorasyon,3.04,1.24,1.25,1.29,1.2
4488,decorative,0.908,0.46,0.381,dekoratif,3.14,1.23,1.25,1.28,1.19
4489,decorator,0.84,0.471,0.455,dekoratör,3.01,1.23,1.25,1.28,1.2
4490,decorum,0.802,0.327,0.462,edep,1.86,1.37,1.32,1.38,1.38
4491,decoy,0.149,0.46,0.33,yem,1.66,1.61,1.51,1.62,1.6
4492,decrease,0.125,0.36,0.267,azalmak,1.75,1.46,1.41,1.47,1.48
4493,decreased,0.224,0.271,0.17,azalmış,1.68,1.6,1.54,1.63,1.6
4494,decreasing,0.32,0.346,0.224,azalan,1.73,1.55,1.47,1.54,1.58
4495,decree,0.552,0.478,0.746,kararname,1.71,1.48,1.41,1.49,1.49
4496,decrement,0.255,0.427,0.373,azalma,1.63,1.58,1.51,1.55,1.64
4497,decrepit,0.156,0.49,0.225,yıpranmış,1.22,2.28,2.29,2.15,2.45
4498,decry,0.4,0.814,0.548,kınamak,1.52,1.77,1.69,1.7,1.86
4499,decryption,0.459,0.445,0.6,şifre çözme,1.67,1.59,1.51,1.59,1.61
4500,dedicate,0.823,0.431,0.588,adamak,3.01,1.24,1.25,1.29,1.2
4501,dedication,0.867,0.471,0.682,özveri,3.31,1.24,1.25,1.32,1.17
4502,deduce,0.49,0.51,0.466,sonuç çıkarmak,1.82,1.38,1.33,1.39,1.38
4503,deduct,0.355,0.33,0.412,kesinti,1.75,1.42,1.37,1.42,1.46
4504,deductible,0.375,0.286,0.455,indirilebilir,1.83,1.48,1.42,1.52,1.46
4505,deduction,0.438,0.462,0.527,kesinti,2.21,1.39,1.35,1.42,1.38
4506,deed,0.52,0.32,0.592,senet,1.84,1.46,1.41,1.48,1.46
4507,deejay,0.551,0.63,0.473,DJ,2.42,1.34,1.31,1.39,1.31
4508,deem,0.594,0.529,0.69,saymak,1.81,1.41,1.37,1.42,1.42
4509,deep,0.49,0.473,0.657,derin,1.82,1.4,1.35,1.42,1.42
4510,deepen,0.625,0.53,0.776,derinleştirmek,2.98,1.24,1.25,1.28,1.21
4511,deer,0.583,0.375,0.292,geyik,3.57,1.19,1.25,1.26,1.13
4512,defamation,0.11,0.67,0.481,karalama,1.21,2.51,2.49,2.56,2.39
4513,defamatory,0.143,0.688,0.402,karalayıcı,1.26,2.35,2.22,2.23,2.48
4514,default,0.459,0.343,0.712,varsayılan,1.54,1.88,1.83,1.87,1.87
4515,defeat,0.092,0.5,0.224,yenilgi,1.24,2.45,2.51,2.5,2.33
4516,defeated,0.104,0.582,0.145,mağlup,1.44,2.14,2.19,2.26,1.97
4517,defeatist,0.163,0.567,0.315,bozguncu,1.4,2.05,2.17,2.1,2.0
4518,defect,0.135,0.561,0.185,kusur,1.24,2.35,2.43,2.42,2.21
4519,defection,0.146,0.594,0.33,iltica,1.42,2.13,1.98,2.2,2.02
4520,defective,0.122,0.58,0.274,arızalı,1.24,2.35,2.35,2.34,2.34
4521,defector,0.163,0.696,0.286,sığınmacı,1.67,1.68,1.55,1.7,1.65
4522,defend,0.698,0.722,0.67,savunmak,1.69,1.68,1.51,1.69,1.65
4523,defendant,0.25,0.71,0.491,sanık,1.58,1.77,1.73,1.86,1.68
4524,defended,0.663,0.451,0.582,savundu,1.72,1.54,1.44,1.54,1.54
4525,defender,0.639,0.708,0.75,defans oyuncusu,1.79,1.56,1.47,1.57,1.55
4526,defending,0.604,0.871,0.812,savunma,1.48,2.04,1.81,1.98,2.08
4527,defense,0.652,0.698,0.802,savunma,1.73,1.63,1.52,1.68,1.57
4528,defenseless,0.143,0.357,0.105,savunmasız,1.22,2.49,2.54,2.6,2.29
4529,defensible,0.74,0.509,0.593,savunulabilir,2.26,1.32,1.3,1.35,1.3
4530,defensive,0.542,0.64,0.678,savunma,1.65,1.8,1.62,1.72,1.88
4531,defer,0.245,0.459,0.317,ertelemek,1.89,1.34,1.29,1.34,1.35
4532,deference,0.51,0.396,0.447,saygı,2.0,1.36,1.32,1.38,1.36
4533,deferral,0.765,0.542,0.327,erteleme,1.71,1.55,1.49,1.52,1.61
4534,deferring,0.343,0.5,0.413,erteleme,1.77,1.44,1.39,1.43,1.46
4535,defiance,0.333,0.78,0.76,nispet,1.41,2.18,1.93,2.11,2.24
4536,defiant,0.25,0.792,0.769,meydan okuyan,1.37,2.23,1.95,2.14,2.3
4537,defibrillator,0.398,0.663,0.431,defibrilatör,1.43,2.19,2.07,2.35,1.96
4538,deficiency,0.073,0.373,0.179,eksiklik,1.29,2.22,2.25,2.15,2.29
4539,deficient,0.24,0.464,0.132,Yetersiz,1.34,2.1,2.15,2.04,2.17
4540,deficit,0.358,0.5,0.269,açık,1.32,2.24,2.38,2.37,2.09
4541,define,0.688,0.415,0.632,tanımlamak,1.93,1.35,1.3,1.36,1.35
4542,defined,0.67,0.214,0.646,tanımlanmış,1.82,1.37,1.32,1.38,1.38
4543,definite,0.708,0.292,0.741,kesin,2.48,1.31,1.3,1.36,1.29
